#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Borrelia afzelii PKo","PKo",21013,SAMN02641500 ,PRJNA17057,"Spirochaetes","Spirochaetia",GCA_000165595.2 ,1.2325,27.6984,chromosome:NC_008277.1/CP000395.1; plasmid cp27:NC_008274.1/CP000402.1; plasmid cp30:NC_008273.1/CP000400.1; plasmid lp25:NC_008569.1/CP000403.1; plasmid lp28:NC_008568.1/CP000401.1; plasmid lp32:NC_008567.1/CP000399.1; plasmid lp34:NC_008566.1/CP000398.1; plasmid lp60:NC_008564.1/CP000396.1; plasmid lp60-2:NC_008565.1/CP000397.1,-,12,1193,1114,2006/07/31,2015/08/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165595.2_ASM16559v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000165595.2_ASM16559v2
"Sulfolobus islandicus Y.G.57.14","Y.G.57.14",20374,SAMN02598422 ,PRJNA19487,"Crenarchaeota","Thermoprotei",GCA_000022465.1 ,2.70206,35.4,chromosome:NC_012622.1/CP001403.1,-,1,2916,2708,2009/04/29,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022465.1_ASM2246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022465.1_ASM2246v1
"Porphyromonas gingivalis AJW4","AJW4",20568,SAMN03372093 ,PRJNA276132,"Bacteroidetes/Chlorobi group","Bacteroidetes",GCA_001274615.1 ,2.37249,48.3,chromosome:NZ_CP011996.1/CP011996.1,-,1,2006,1906,2015/08/26,2015/08/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001274615.1_ASM127461v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001274615.1_ASM127461v1
"Burkholderia thailandensis E444","E444",19460,SAMN03081450 ,PRJNA178702,"Proteobacteria","Betaproteobacteria",GCA_000567945.1 ,6.6517,67.6859,chromosome 1:NZ_CP004117.1/CP004117.1; chromosome 2:NZ_CP004118.1/CP004118.1,-,2,5773,5565,2014/02/10,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000567945.1_ASM56794v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000567945.1_ASM56794v1
"Clostridium botulinum F str. Langeland","Langeland",20200,SAMN02603533 ,PRJNA19519,"Firmicutes","Clostridia",GCA_000017065.1 ,4.01292,28.2904,chromosome:NC_009699.1/CP000728.1; plasmid pCLI:NC_009700.1/CP000729.1,-,2,3786,3624,2007/07/20,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000017065.1_ASM1706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017065.1_ASM1706v1
"Mycoplasma mycoides subsp. capri LC str. 95010","95010",21078,SAMEA2272808 ,PRJEA50391,"Tenericutes","Mollicutes",GCA_000253075.1 ,1.15584,23.8086,chromosome:NC_015431.1/FQ377874.1; plasmid pMmc-95010:NC_015407.1/FQ790215.1,-,2,981,920,2011/04/12,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000253075.1_ASM25307v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000253075.1_ASM25307v1
"Borrelia burgdorferi CA382","CA382",21018,SAMN02604148 ,PRJNA200089,"Spirochaetes","Spirochaetia",GCA_000444465.1 ,0.910736,28.6,chromosome:NC_022048.1/CP005925.1,-,1,860,804,2013/08/06,2015/07/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000444465.1_ASM44446v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000444465.1_ASM44446v1
"Klebsiella pneumoniae KCTC 2242","KCTC 2242",19672,SAMN02603582 ,PRJNA67293,"Proteobacteria","Gammaproteobacteria",GCA_000220485.1 ,5.46242,57.3252,chromosome:NC_017540.1/CP002910.1; plasmid pKCTC2242:NC_017541.1/CP002911.1,-,2,5413,5218,2011/07/12,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000220485.1_ASM22048v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000220485.1_ASM22048v1
"Enterococcus faecalis D32","D32",20137,SAMN02603765 ,PRJNA169860,"Firmicutes","Bacilli",GCA_000281195.1 ,3.0625,37.4365,chromosome:NC_018221.1/CP003726.1; plasmid EFD32pA:NC_018222.1/CP003727.1; plasmid EFD32pB:NC_018223.1/CP003728.1,-,3,3082,2934,2012/07/24,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000281195.1_ASM28119v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000281195.1_ASM28119v1
"Rhizobium leguminosarum bv. trifolii WSM2304","WSM2304",22239,SAMN00000679 ,PRJNA20179,"Proteobacteria","Alphaproteobacteria",GCA_000021345.1 ,6.8727,61.1684,chromosome:NC_011369.1/CP001191.1; plasmid pRLG201:NC_011368.1/CP001192.1; plasmid pRLG202:NC_011366.1/CP001193.1; plasmid pRLG203:NC_011370.1/CP001195.1; plasmid pRLG204:NC_011371.1/CP001194.1,-,5,6531,6384,2008/10/16,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021345.1_ASM2134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021345.1_ASM2134v1
"Rickettsia prowazekii str. BuV67-CWPP","BuV67-CWPP",19235,SAMN02603544 ,PRJNA75003,"Proteobacteria","Alphaproteobacteria",GCA_000277205.1 ,1.11145,29,chromosome:NC_017056.1/CP003393.1,-,1,897,855,2012/03/21,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000277205.1_ASM27720v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277205.1_ASM27720v1
"Treponema pallidum subsp. pertenue str. SamoaD","SamoaD",21022,SAMN00000317 ,PRJNA30671,"Spirochaetes","Spirochaetia",GCA_000246755.1 ,1.13933,52.8,chromosome:NC_016842.1/CP002374.1,-,1,1027,971,2012/02/06,2015/08/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000246755.1_ASM24675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000246755.1_ASM24675v1
"Brucella canis str. Oliveri","Oliveri",19921,SAMEA3138887 ,PRJEB4803,"Proteobacteria","Alphaproteobacteria",GCA_000530495.1 ,3.31866,57.2364,chromosome I:NZ_HG803175.1/HG803175.1; chromosome II:NZ_HG803176.1/HG803176.1,-,2,3141,3003,2014/01/23,2015/10/01,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000530495.1_Oliveri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000530495.1_Oliveri
"Clavibacter michiganensis","PF008",20948,SAMN03896004 ,PRJNA290692,"Actinobacteria","Actinobacteria",GCA_001280205.1 ,3.24171,73.1911,chromosome:NZ_CP012573.1/CP012573.1; plasmid pCM1:NZ_CP012574.1/CP012574.1; plasmid pCM2:NZ_CP012575.1/CP012575.1,-,3,3076,2945,2015/09/08,2015/09/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001280205.1_ASM128020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001280205.1_ASM128020v1
"Brucella suis bv. 1 str. S2","S2",19921,SAMN03068300 ,PRJNA230685,"Proteobacteria","Alphaproteobacteria",GCA_000600055.1 ,3.31528,57.2364,chromosome I:NZ_CP006961.1/CP006961.1; chromosome II:NZ_CP006962.1/CP006962.1,-,2,3142,3019,2014/03/25,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000600055.1_ASM60005v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000600055.1_ASM60005v1
"Streptococcus dysgalactiae subsp. equisimilis 167","167",20125,-,PRJDB689,"Firmicutes","Bacilli",GCA_000493775.1 ,2.0764,39.6,chromosome 1:NC_022532.1/AP012976.1,-,1,2051,1650,2013/10/04,2015/07/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000493775.1_ASM49377v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000493775.1_ASM49377v1
"Rhizobium etli bv. phaseoli str. IE4803","IE4803",19912,SAMN02423217 ,PRJNA231318,"Proteobacteria","Alphaproteobacteria",GCA_000816125.1 ,6.99743,61.096,chromosome RetIE4803:NZ_CP007641.1/CP007641.1; plasmid pRetIE4803a:NZ_CP007642.1/CP007642.1; plasmid pRetIE4803b:NZ_CP007643.1/CP007643.1; plasmid pRetIE4803c:NZ_CP007644.1/CP007644.1; plasmid pRetIE4803d:NZ_CP007645.1/CP007645.1,-,5,6583,6351,2015/01/07,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000816125.1_ASM81612v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000816125.1_ASM81612v1
"Neisseria gonorrhoeae","FA6140",19400,SAMN03459416 ,PRJNA278367,"Proteobacteria","Betaproteobacteria",GCA_001047255.1 ,2.1687,52.6,chromosome:NZ_CP012027.1/CP012027.1,-,1,2340,2153,2015/07/07,2015/09/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001047255.1_ASM104725v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001047255.1_ASM104725v1
"Enterococcus faecium T110","T110",20139,SAMN02194078 ,PRJNA207757,"Firmicutes","Bacilli",GCA_000737555.1 ,2.73796,38.4565,chromosome:NZ_CP006030.1/CP006030.1; plasmid pEFT110:NZ_CP006031.1/CP006031.1,-,2,2639,2502,2014/08/04,2015/07/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000737555.1_ASM73755v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000737555.1_ASM73755v1
"Streptococcus mutans UA159-FR","UA159-FR",20116,SAMN03278343 ,PRJNA231968,"Firmicutes","Bacilli",GCA_000817065.1 ,2.03169,36.8,chromosome:NZ_CP007016.1/CP007016.1,-,1,1997,1898,2015/01/09,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000817065.1_ASM81706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000817065.1_ASM81706v1
"Chlamydia psittaci 02DC15","02DC15",20505,SAMN02603518 ,PRJNA66481,"Chlamydiae/Verrucomicrobia group","Chlamydiae",GCA_000270425.1 ,1.17218,39.1,chromosome:NC_017292.1/CP002806.1,-,1,1021,972,2011/06/02,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000270425.1_ASM27042v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000270425.1_ASM27042v1
"Bifidobacterium animalis subsp. lactis V9","V9",20773,SAMN02603934 ,PRJNA32515,"Actinobacteria","Actinobacteria",GCA_000092765.1 ,1.94405,60.5,chromosome:NC_017217.1/CP001892.1,-,1,1613,1541,2010/05/05,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000092765.1_ASM9276v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092765.1_ASM9276v1
"Bacillus amyloliquefaciens IT-45","IT-45",22103,SAMN02603349 ,PRJNA73591,"Firmicutes","Bacilli",GCA_000242855.2 ,3.93687,46.5876,chromosome:NC_020272.1/CP004065.1; plasmid pBA45-1:NC_020273.1/CP004119.1,-,2,3832,3678,2013/02/13,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000242855.2_ASM24285v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000242855.2_ASM24285v2
"Bacillus mycoides Rock3-17","Rock3-17",35143,SAMN00727643 ,PRJNA29705,"Firmicutes","Bacilli",GCA_000161435.1 ,5.71395,35.4,chromosome:NZ_CM000744.1/CM000744.1,ACMW01,1,5807,5430,2009/04/30,2015/08/12,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000161435.1_ASM16143v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000161435.1_ASM16143v1
"Streptococcus equi subsp. zooepidemicus CY","CY",20124,SAMN02997653 ,PRJNA221123,"Firmicutes","Bacilli",GCA_000696505.1 ,2.10738,41.7,chromosome:NZ_CP006770.1/CP006770.1,-,1,1972,1828,2014/05/30,2015/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000696505.1_ASM69650v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000696505.1_ASM69650v1
"Stenotrophomonas maltophilia D457","D457",19485,SAMEA2272378 ,PRJEA89665,"Proteobacteria","Gammaproteobacteria",GCA_000284595.1 ,4.76916,66.8,chromosome:NC_017671.1/HE798556.1,-,1,4381,4220,2012/04/11,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284595.1_ASM28459v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284595.1_ASM28459v1
"Alteromonas macleodii str. 'Balearic Sea AD45'","Balearic Sea AD45",19587,SAMN02604120 ,PRJNA65405,"Proteobacteria","Gammaproteobacteria",GCA_000300175.1 ,4.67488,44.6495,chromosome:NC_018679.1/CP003873.1; plasmid pAMBAS45:NC_018680.1/CP003874.1,-,2,4039,3908,2012/09/28,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000300175.1_ASM30017v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000300175.1_ASM30017v1
"Bifidobacterium bifidum","BF3",20778,SAMN03271680 ,PRJNA270902,"Actinobacteria","Actinobacteria",GCA_001281345.1 ,2.21037,62.6,chromosome:NZ_CP010412.1/CP010412.1,-,1,1813,1690,2015/09/14,2015/09/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001281345.1_ASM128134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001281345.1_ASM128134v1
"Zymomonas mobilis subsp. mobilis ATCC 29191","ATCC 29191",19764,SAMN02261358 ,PRJNA35035,"Proteobacteria","Alphaproteobacteria",GCA_000277755.1 ,2.00834,46.109,chromosome:NC_018145.1/CP003704.1; plasmid pZZ6.01:NC_018146.1/CP003705.1; plasmid pZZ6.02:NC_018147.1/CP003706.1; plasmid pZZ6.03:NC_018148.1/CP003707.1,-,4,1839,1734,2012/07/13,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000277755.1_ASM27775v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277755.1_ASM27775v1
"Pasteurella multocida subsp. multocida str. HB03","HB03",19706,SAMN02641508 ,PRJNA83131,"Proteobacteria","Gammaproteobacteria",GCA_000512395.1 ,2.30768,40.4,chromosome:NZ_CP003328.1/CP003328.1,-,1,2138,2039,2013/12/31,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512395.1_ASM51239v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000512395.1_ASM51239v1
"Lactobacillus rhamnosus LOCK900","LOCK900",20097,SAMN02603328 ,PRJNA196481,"Firmicutes","Bacilli",GCA_000418475.1 ,2.88338,46.8,chromosome:NC_021723.1/CP005484.1,-,1,2686,2588,2013/07/08,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000418475.1_ASM41847v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000418475.1_ASM41847v1
"Sulfolobus solfataricus","SULA",20373,SAMN03452280 ,PRJNA279935,"Crenarchaeota","Thermoprotei",GCA_000968435.1 ,2.72734,35.9,chromosome:NZ_CP011057.1/CP011057.1,-,1,2924,2715,2015/04/02,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000968435.1_ASM96843v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968435.1_ASM96843v1
"Acetobacter pasteurianus IFO 3283-26","IFO 3283 substr. IFO 3283-26",19796,-,PRJDA31137,"Proteobacteria","Alphaproteobacteria",GCA_000010905.1 ,3.33968,53.07,chromosome:NC_017146.1/AP011149.1; plasmid pAPA26-013:NC_017130.1/AP011150.1; plasmid pAPA26-020:NC_017131.1/AP011151.1; plasmid pAPA26-030:NC_017147.1/AP011152.1; plasmid pAPA26-040:NC_017132.1/AP011153.1; plasmid pAPA26-050:NC_017148.1/AP011154.1; plasmid pAPA26-060:NC_017133.1/AP011155.1,-,7,3144,3019,2009/08/27,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000010905.1_ASM1090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010905.1_ASM1090v1
"Francisella philomiragia","O#319-036 [FSC 153]",19496,SAMN03024268 ,PRJNA260383,"Proteobacteria","Gammaproteobacteria",GCA_000833295.1 ,1.92406,32.7977,chromosome:NZ_CP009442.1/CP009442.1; plasmid pFPJ_1:NZ_CP009443.1/CP009443.1,-,2,1853,1789,2015/02/06,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000833295.1_ASM83329v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000833295.1_ASM83329v1
"Brucella melitensis NI","NI",19921,SAMN02603116 ,PRJNA66633,"Proteobacteria","Alphaproteobacteria",GCA_000227645.1 ,3.29447,57.2357,chromosome I:NC_017248.1/CP002931.1; chromosome II:NC_017283.1/CP002932.1,-,2,3161,3013,2011/10/06,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000227645.1_ASM22764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000227645.1_ASM22764v1
"Bacillus megaterium NBRC 15308 = ATCC 14581","ATCC 14581",35354,SAMN03174779 ,PRJNA238207,"Firmicutes","Bacilli",GCA_000832985.1 ,5.74664,37.8506,chromosome:NZ_CP009920.1/CP009920.1; plasmid pBMV_1:NZ_CP009919.1/CP009919.1; plasmid pBMV_2:NZ_CP009921.1/CP009921.1; plasmid pBMV_3:NZ_CP009915.1/CP009915.1; plasmid pBMV_4:NZ_CP009918.1/CP009918.1; plasmid pBMV_5:NZ_CP009916.1/CP009916.1; plasmid pBMV_6:NZ_CP009917.1/CP009917.1,-,7,5790,5532,2015/02/05,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000832985.1_ASM83298v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000832985.1_ASM83298v1
"Dickeya dadantii NCPPB 3537","NCPPB 3537",19681,SAMN02470102 ,PRJNA172953,"Proteobacteria","Gammaproteobacteria",GCA_000406265.1 ,4.80845,56.484,chromosome:NZ_CM001982.1/CM001982.1,AOOL01,12,4156,4016,2013/06/04,2015/08/10,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000406265.1_DDA3537_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000406265.1_DDA3537_1.0
"Bordetella pertussis 137","137",19440,SAMN02360353 ,PRJNA221122,"Proteobacteria","Betaproteobacteria",GCA_000812165.1 ,4.13459,67.7,chromosome:NZ_CP010323.1/CP010323.1,-,1,3935,3618,2014/12/31,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000812165.1_ASM81216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000812165.1_ASM81216v1
"Bordetella bronchiseptica","ATCC 10580",19440,SAMN02767257 ,PRJNA243868,"Proteobacteria","Betaproteobacteria",GCA_000746565.1 ,5.14289,68.2,chromosome:NZ_CM002881.1/CM002881.1,JMRX01,1,4866,4681,2014/08/19,2015/08/16,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000746565.1_ASM74656v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000746565.1_ASM74656v1
"Treponema denticola OTK","OTK",21023,SAMN02596724 ,PRJNA64919,"Spirochaetes","Spirochaetia",GCA_000340705.1 ,2.85753,37.7,chromosome:NZ_CM001797.1/CM001797.1,AGDY01,1,2674,2573,2013/02/07,2015/08/02,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000340705.1_Trep_dent_OTK_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000340705.1_Trep_dent_OTK_V1
"Sinorhizobium meliloti Rm41","Rm41",19908,SAMEA2272434 ,PRJEB436,"Proteobacteria","Alphaproteobacteria",GCA_000304415.1 ,7.14969,62.0318,chromosome I:NC_018700.1/HE995405.1; plasmid pRM41A:NC_018682.1/HE995406.1; plasmid pSYMA:NC_018683.1/HE995407.1; plasmid pSYMB:NC_018701.1/HE995408.1,-,4,6733,6510,2012/09/28,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000304415.1_RM41,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000304415.1_RM41
"Mycoplasma pneumoniae PI 1428","PI 1428",21053,SAMN02471520 ,PRJNA176271,"Tenericutes","Mollicutes",GCA_000319675.2 ,0.816496,40,chromosome:NZ_CP010538.1/CP010538.1,-,1,775,711,2015/08/21,2015/09/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000319675.2_ASM31967v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000319675.2_ASM31967v2
"Yersinia enterocolitica","2516-87",21108,SAMN03161068 ,PRJNA240088,"Proteobacteria","Gammaproteobacteria",GCA_000834735.1 ,4.60395,46.9576,chromosome:NZ_CP009838.1/CP009838.1; plasmid pCD:NZ_CP009837.1/CP009837.1,-,2,4162,3949,2015/02/09,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000834735.1_ASM83473v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834735.1_ASM83473v1
"Corynebacterium diphtheriae BH8","BH8",20794,SAMN02603077 ,PRJNA42423,"Actinobacteria","Actinobacteria",GCA_000241935.1 ,2.48552,53.6,chromosome:NC_016800.1/CP003209.1,-,1,2359,2223,2012/01/10,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000241935.1_ASM24193v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000241935.1_ASM24193v1
"Mycobacterium smegmatis","INHR1",20843,SAMN03068202 ,PRJNA261003,"Actinobacteria","Actinobacteria",GCA_000767665.1 ,6.98834,67.4,chromosome:NZ_CP009495.1/CP009495.1,-,1,6788,6656,2014/10/22,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000767665.1_ASM76766v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000767665.1_ASM76766v1
"Methanosarcina barkeri 3","3",36841,SAMN03074574 ,PRJNA230938,"Euryarchaeota","Methanomicrobia",GCA_000970305.1 ,4.56045,39.1,chromosome:NZ_CP009517.1/CP009517.1,-,1,3731,3565,2015/04/07,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000970305.1_ASM97030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970305.1_ASM97030v1
"Thermotoga maritima MSB8","MSB8",20737,SAMN03437642 ,PRJNA279291,"Thermotogae","Thermotogae",GCA_000978555.1 ,1.86961,46.2,chromosome:NZ_CP011107.1/CP011107.1,-,1,1927,1873,2015/04/22,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000978555.1_ASM97855v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000978555.1_ASM97855v1
"Dehalococcoides mccartyi GT","GT",20718,SAMN02598511 ,PRJNA36645,"Chloroflexi","Dehalococcoidia",GCA_000025585.1 ,1.36015,47.3,chromosome:NC_013890.1/CP001924.1,-,1,1452,1390,2010/02/17,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000025585.1_ASM2558v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025585.1_ASM2558v1
"Methanosarcina mazei LYC","LYC",20482,SAMN03074582 ,PRJNA230946,"Euryarchaeota","Methanomicrobia",GCA_000970225.1 ,4.15434,41.4,chromosome:NZ_CP009513.1/CP009513.1,-,1,3568,3423,2015/04/07,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000970225.1_ASM97022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970225.1_ASM97022v1
"Chlamydia muridarum","Nigg3",20503,SAMN02402710 ,PRJNA227769,"Chlamydiae/Verrucomicrobia group","Chlamydiae",GCA_000772145.1 ,1.07295,40.3,chromosome:NZ_CP009760.1/CP009760.1,-,1,938,894,2014/11/05,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000772145.1_ASM77214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000772145.1_ASM77214v1
"Mannheimia haemolytica D153","D153",19695,SAMN02056285 ,PRJNA181152,"Proteobacteria","Gammaproteobacteria",GCA_000422145.1 ,2.68184,41,chromosome:NC_021743.1/CP005972.1,-,1,2715,2564,2013/07/11,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000422145.1_ASM42214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000422145.1_ASM42214v1
"Lactobacillus plantarum subsp. plantarum P-8","plantarum",20087,SAMN02603936 ,PRJNA49145,"Firmicutes","Bacilli",GCA_000392485.2 ,3.24663,44.5541,chromosome:NC_021224.2/CP005942.2; plasmid LBPp1:NC_021233.2/CP005943.2; plasmid LBPp2:NC_021225.2/CP005944.2; plasmid LBPp3:NC_021226.2/CP005945.2; plasmid LBPp4:NC_021234.2/CP005946.2; plasmid LBPp5:NC_021227.2/CP005947.2; plasmid LBPp6:NC_021228.1/CP005948.1; plasmid LBPp7:NZ_CP010527.1/CP010527.1,-,8,3080,2902,2013/05/14,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000392485.3_ASM39248v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000392485.2_ASM39248v2
"Serratia marcescens","CAV1492",21231,SAMN03733805 ,PRJNA246471,"Proteobacteria","Gammaproteobacteria",GCA_001022215.1 ,5.8284,58.6287,chromosome:NZ_CP011642.1/CP011642.1; plasmid pCAV1492-199:NZ_CP011641.1/CP011641.1; plasmid pCAV1492-3223:NZ_CP011637.1/CP011637.1; plasmid pCAV1492-6393:NZ_CP011638.1/CP011638.1; plasmid pCAV1492-73:NZ_CP011640.1/CP011640.1; plasmid pKPC_CAV1492:NZ_CP011639.1/CP011639.1,-,6,5460,5274,2015/06/09,2015/08/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001022215.1_ASM102221v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001022215.1_ASM102221v1
